PaperID,Title,DOI,url
26,"Modular Design of Community-Scale Photovoltaic Reverse Osmosis Systems Under Uncertainty",10.1115/DETC2014-350,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090522
27,"Energetic and Socioeconomic Justification for Solar-Powered Desalination Technology for Rural Indian Villages",10.1115/DETC2014-351,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090523
28,"Selection of Sustainable Wind Turbine Tower Geometry and Material Using Multi-Level Decision Making",10.1115/DETC2014-352,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090524
29,"Policy and Demand as Drivers for Product Quality and Sustainability: A Market Systems Approach",10.1115/DETC2014-343,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090525
30,"Should Optimal Designers Worry About Consideration?",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090526
31,"A Socio-Academic Approach in Providing Renewable Energy Sources: Experiences of Mechanical Engineering Department, Mapua Institute of Technology",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090527
32,"Design for Upstream and Downstream Market Systems With Interoperability Considerations",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090528
33,"A Study of Automotive Greenhouse Gas Emissions and Reduction Opportunities Through Adoption of Electric Drive Vehicles",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090529
34,"Enhanced Adaptive Choice-Based Conjoint Analysis Incorporating Engineering Knowledge",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090530
35,"Proof-of-Concept Evaluation of a Low-Cost and Low-Weight Tractor for Small-Scale Farms",10.1115/DETC2014-351,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090531
36,"Integrated Decision Making in Electric Vehicle and Charging Station Location Network Design",10.1115/DETC2014-352,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090532
37,"Considering Design Prohibitions in Product Line Optimization",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090533
38,"A Random Process Metamodel for Time-Dependent Reliability of Dynamic Systems",10.1115/DETC2014-343,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090534
39,"Design of Smart Sensing Functions Using Piezoelectric Materials for Failure Diagnostics",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090535
40,"Evolving Design Model Synchronization for System Health Management Using Laplace Approximation",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090536
41,"Resilience Modeling and Quantification for Design of Complex Engineered Systems Using Bayesian Networks",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090537
42,"A Self-Cognizant Dynamic System Approach for Health Management: Lithium-Ion Battery Case Study",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090538
43,"Estimation of Reliable Replacement Time of Cutting Tool in Tooling Machines Using the Energy-Based Reliability Model (ERM)",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090539
44,"Statistical Health Diagnostics for Water-Cooled Power Generator Stator Winding Against Water Absorption",10.1115/DETC2014-348,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090540
45,"Engineering Recoverability: A New Indicator of Design for Engineering Resilience",10.1115/DETC2014-350,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090541
46,"Toward a Market-Based Lean Startup Product Design Method for the Developing World",10.1115/DETC2014-341,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090542
47,"Components of a Framework for the Design of Energy Services for Villages in Developing Countries",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090543
48,"A Method for Determining Customer Needs in the Developing World",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090544
49,"Single Cell Battery Charger for Portable Electronic Devices in Developing Countries",10.1115/DETC2014-354,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090545
50,"Improving Irrigation in Remote Areas: Multi-Objective Optimization of a Treadle Pump",10.1115/DETC2014-354,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090546
51,"Template Driven Conceptual Design of High Speed Trains",10.1115/DETC2014-340,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090547
52,"Creating Faultable Network Models of Complex Engineered Systems",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090548
53,"Toward a Value-Driven Design Approach for Complex Engineered Systems Using Trade Space Exploration Tools",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090549
54,"Optimal Configuration of Valves and Plumbing Lines in Complex Housing",10.1115/DETC2014-352,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090550
55,"Integrated Multiscale Robust Design Considering Microstructure Evolution and Material Properties in the Hot Rolling Process",10.1115/DETC2014-341,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090552
56,"Evolution of Meso-Structures for Non-Pneumatic Tire Development: A Case Study",10.1115/DETC2014-341,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090553
57,"Hot Forging of Automobile Steel Gear Blanks: An Exploration of the Solution Space",10.1115/DETC2014-341,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090554
58,"Inverse Design of Manufacturing Process Chains",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090555
59,"An Approach to Robust Process Design for Continuous Casting of Slab",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090556
60,"Exploration of the Design Space in Continuous Casting Tundish",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090557
61,"A Multi-Scale Materials Modeling Method With Seamless Zooming Capability Based on Surfacelets",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090558
62,"Bayesian Network Classifiers and Design Flexibility Metrics for Set-Based, Multiscale Design With Materials Design Applications",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090559
63,"A Machine Learning-Based Design Representation Method for Designing Heterogeneous Microstructures",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090560
64,"Constraint Satisfaction Approach to the Design of Multi-Component, Multi-Phase Alloys",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090561
65,"Efficient Filtering in Topology Optimization via B-Splines",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090562
66,"Domain Composition Method for Structural Optimization",10.1115/DETC2014-350,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090563
67,"Projection-Based Topology Optimization Using Discrete Object Sets",10.1115/DETC2014-352,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090564
68,"A Hybrid Approach to Polygon Offsetting Using Winding Numbers and Partial Computation of the Voronoi Diagram",10.1115/DETC2014-343,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090565
69,"Topology Preserving Digitization of Physical Prototypes Using Deformable Subdivision Models",10.1115/DETC2014-343,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090566
70,"Challenges in Designing and Manufacturing Fully Optimized Functional Gradient Material Objects",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090567
71,"Optimization of Tooth Root Profile of Spur Gears for Maximum Load-Carrying Capacity",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090568
72,"Automatic Detection and Extraction of Tolerance Stacks in Mechanical Assemblies",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090569
73,"A Formal Model of Human Interactions for Service Ecosystem Design",10.1115/DETC2014-348,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090570
74,"Identifying Glenoid Geometries Through Radial Basis Functions for Implant Design",10.1115/DETC2014-354,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090571
75,"Advancing Design Through the Creation and Visualization of Virtual Population Representing U.S. Civilians",10.1115/DETC2014-354,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090572
76,"A Simultaneous Computing Framework for Metamodel-Based Design Optimization",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090573
77,"Problem Formulations for Simulation-Based Design Optimization Using Statistical Surrogates and Direct Search",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090574
78,"An Approach Towards Generating Surrogate Models by Using RBFN With a Priori Bias",10.1115/DETC2014-349,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090575
79,"A Global High Dimensional Metamodeling Approach With the Ability of Using Non-Uniform Sampling",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090576
80,"Concurrent Surrogate Model Selection (COSMOS) Based on Predictive Estimation of Model Fidelity",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090577
81,"Global Optimization With Quantum Walk Enhanced Grover Search",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090578
82,"Investigation of Numerical Performance of Partitioning and Parallel Processing of Markov Chain (PPMC) for Complex Design Problems",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090579
83,"A System Uncertainty Propagation Approach With Model Uncertainty Quantification in Multidisciplinary Design",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090580
84,"System of Systems Approach to Air Transportation Design Using Nested Problem Formulation and Direct Search Optimization",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090581
85,"Iteration Complexity of the Alternating Direction Method of Multipliers for Quasi-Separable Problems in Multi-Disciplinary Design Optimization",10.1115/DETC2014-350,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090582
86,"Dual Residual in Augmented Lagrangian Coordination for Decomposition-Based Optimization",10.1115/DETC2014-351,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090583
87,"Solving Structure for Network-Decomposed Problems Optimized With Augmented Lagrangian Coordination",10.1115/DETC2014-351,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090584
88,"Cooperative Design Optimization (CDO) for Multidisciplinary Systems",10.1115/DETC2014-352,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090585
89,"A Dynamic Service-Oriented Distributed Computing Framework for Evaluation of Computationally Expensive Black-Box Analyses",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090586
90,"Application of Analytical Target Cascading for Engine Calibration Optimization Problem",10.1115/DETC2014-354,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090587
91,"Evaluation of System Reconfigurability Based on Usable Excess",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090588
92,"Using Interfaces to Drive Module Definition: Investigating the Impact of a New Design Dependency Measure",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090589
93,"Solving the Reconfigurable Design Problem for Multiability With Application to Robotic Systems",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090590
94,"Designing Scalable Product Families for Black-Box Functions",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090591
95,"Decision Topology Assessment in Engineering Design Under Uncertainty",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090592
96,"Redundancy Allocation for Reliability Design of Engineering Systems With Failure Interactions",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090593
97,"Improve System Reliability and Robustness Using Axiomatic Design and Fault Tree Analysis",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090594
98,"Efficient Global Optimization Reliability Analysis (EGORA) for Time-Dependent Limit-State Functions",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090595
99,"Incorporating Flexibility in the Design of Repairable Systems: Design of Microgrids",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090596
100,"A Simulation Method to Estimate the Time-Varying Failure Rate of Dynamic Systems",10.1115/DETC2014-343,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090597
101,"An Improved Stochastic Upscaling Method for Multiscale Engineering Systems",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090598
102,"A Confidence-Based Adaptive Sampling Approach for Dynamic Reliability Analysis",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090599
103,"An Integrated Performance Measure Approach for System Reliability Assessment",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090600
104,"Inverse Reliability Analysis for Approximated Second-Order Reliability Method Using Hessian Update",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090601
105,"Confidence-Based Method for Reliability-Based Design Optimization",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090602
106,"Time-Dependent Reliability Analysis Using the Total Probability Theorem",10.1115/DETC2014-350,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090603
107,"Topology Optimization With Unknown-but-Bounded Load Uncertainty",10.1115/DETC2014-352,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090604
108,"Applying Robust Design Optimization to Large Systems",10.1115/DETC2014-352,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090605
109,"An Efficient Reliability Analysis Method for Structures With Epistemic Uncertainty Using Evidence Theory",10.1115/DETC2014-356,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090606
110,"An Explicit Level-Set Approach for Structural Topology Optimization",10.1115/DETC2013-121,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830286
111,"Mixed Discrete and Continuous Variable Optimization Based on Constraint Aggregation and Relative Sensitivity",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830287
112,"Optimization of the Cutting Conditions for High Speed Drilling of Woven Composites",10.1115/DETC2013-129,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830288
113,"Optimization of the Shock Mitigation Layer in the Space Frame Joints of an Armored Vehicle",10.1115/DETC2013-133,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830289
114,"Non-Probabilistic Based Topology Optimization Under External Load Uncertainty With Eigenvalue-Superposition of Convex Models",10.1115/DETC2013-133,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830290
115,"A Spatial Grammar for the Computational Design Synthesis of Vise Jaws",10.1115/DETC2013-121,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830291
116,"A Knowledge-Based Approach for the Automated Design of Robotic/Human Manufacturing Workcells in Hazardous Environments",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830292
117,"A New Approach for Designing a Gearbox for a New Kind of Independently Controllable Transmissions",10.1115/DETC2013-129,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830293
118,"Topology Optimization of Fluid Channels Using Generative Graph Grammars",10.1115/DETC2013-130,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830294
119,"Particle Swarm Optimization With Crossover and Mutation Operators Using the Diversity Criteria",10.1115/DETC2013-135,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830295
120,"A New Method for Design Decisions Using Decision Topologies",10.1115/DETC2013-123,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830296
121,"Towards Understanding the Role of Interaction Effects in Visual Conjoint Analysis",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830297
122,"Expanding the Bottom-Up Design Approach Through Integrating Design Attitudes Into Set-Based Design",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830298
123,"Preference Construction, Sequential Decision Making, and Trade Space Exploration",10.1115/DETC2013-130,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830299
124,"Investigating the Relationship Between Product Design Complexity and FDA for Medical Device Development",10.1115/DETC2013-133,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830300
125,"Multi-Objective Robust Optimization Design of a Fixed-Speed Horizontal Axis Wind Turbine",10.1115/DETC2013-123,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830301
126,"Multi-Stage Optimization of Wind Farms With Limiting Factors",10.1115/DETC2013-125,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830302
127,"Wave Energy Extraction Maximization in Irregular Ocean Waves Using Pseudospectral Methods",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830303
128,"Design of Thin Film Solar Cell Material Structures for Reliability and Performance Robustness",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830304
129,"Design Optimization of a Solar-Powered Reverse Osmosis Desalination System for Small Communities",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830305
130,"Assessing Long-Term Wind Conditions by Combining Different Measure-Correlate-Predict Algorithms",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830306
131,"Designing a System of Plug-In Hybrid Electric Vehicle Charging Stations",10.1115/DETC2013-127,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830307
132,"Optimum Solar-Powered HDH Desalination System for Semi-Isolated Communities",10.1115/DETC2013-128,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830308
133,"Sensitivity of Array-Like and Optimized Wind Farm Output to Key Factors and Choice of Wake Models",10.1115/DETC2013-131,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830309
134,"Effects of Uncertain Land Availability, Wind Shear, and Cost on Wind Farm Layout",10.1115/DETC2013-134,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830310
135,"An Activity-Based Costing Method to Support Market-Driven Top-Down Product Family Design",10.1115/DETC2013-122,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830311
136,"Predicting Consumer Choice Set Using Product Association Network and Data Analytics",10.1115/DETC2013-124,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830312
137,"A Bayesian Approach to Extrinsic Versus Intrinsic Uncertainty in Design for Market Systems",10.1115/DETC2013-127,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830313
138,"Strategies for Consumer Control of Complex Product Forms in Generative Design Systems",10.1115/DETC2013-128,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830314
139,"Robust Supply Chain Network Design by Considering Demand-Side Uncertainty and Supply-Side Disruption",10.1115/DETC2013-131,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830315
140,"Extracting Consumer Preference From User-Generated Content Sources Using Classification",10.1115/DETC2013-132,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830316
141,"Enhanced Targeted Initial Populations for Multiobjective Product Line Optimization",10.1115/DETC2013-133,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830317
142,"Sensitivity of Vehicle Market Share Predictions to Alternative Discrete Choice Model Specifications",10.1115/DETC2013-133,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830318
143,"Determining Vehicle-Level Specifications for a New Car Program Considering Market Environments and Engineering Design Constraints",10.1115/DETC2013-137,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830319
144,"A Framework for System Design Optimization Based on Maintenance Scheduling With Prognostics and Health Management",10.1115/DETC2013-125,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830320
145,"Concurrent Design of Functional Reliability and Failure Prognosis for Engineered Resilience",10.1115/DETC2013-125,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830321
146,"Design of a Robust Classification Fusion Platform for Structural Health Diagnostics",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830322
147,"Computerized Systematic Approach to Fault Tree Analysis Based on Quantity Dimension Indexing",10.1115/DETC2013-129,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830323
148,"A Copula-Based Sampling Method for Data-Driven Prognostics and Health Management",10.1115/DETC2013-135,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830324
149,"A Heat Transfer Model for the Conceptual Design of a Biomass Cookstove for Developing Countries",10.1115/DETC2013-126,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830325
150,"Eight Principles Derived From the Engineering Literature for Effective Design for the Developing World",10.1115/DETC2013-131,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830326
151,"Establishing Consumer Need and Preference for Design of Village Cooking Stoves",10.1115/DETC2013-136,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830327
152,"Techno-Economic Design of Off-Grid Domestic Lighting Solutions Using HOMER",10.1115/DETC2013-136,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830328
153,"Structural Complexity Quantification for Engineered Complex Systems and Implications on System Architecture and Design",10.1115/DETC2013-120,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830329
154,"Utilizing Emergent Levels to Facilitate Complex Systems Design: Demonstrated in a Synthetic Biology Domain",10.1115/DETC2013-120,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830330
155,"Evolutionary Design of Cellular Self-Organizing Systems",10.1115/DETC2013-124,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830331
156,"Probabilistic Design of Smart Sensing Functions for Structural Health Monitoring and Prognosis",10.1115/DETC2013-125,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830332
157,"Resilient Design of Complex Engineered Systems",10.1115/DETC2013-132,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830333
158,"Descriptor-Based Methodology for Designing Heterogeneous Microstructural Materials System",10.1115/DETC2013-122,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1830334
