83,Optimization of Machine Product Designs From Deeper Level Characteristics Using Collaboration Theory Concepts,DETC2009-86928
84,A Study of Emission Policy Effects on Optimal Vehicle Design Decisions,DETC2003-48767
85,A Design Optimization Method Using Evidence Theory,DETC2005-84693
86,Neutral Defintion and Recognition of Assembly Features for Legacy Systems Reverse Engineering,DETC2009-86739
87,Sequential Quadratic Programming for Robust Optimization With Interval Uncertainty,DETC2012-70139
88,Generalization of Topological Sensitivity and its Application to Defeaturing,DETC2007-35353
89,Understanding Rural Village Energy Needs and Design Constraints,DETC2011-48669
90,Early Design Modeling and Simulation of Behaviors: Case Study of Mobile Work Machine,DETC2009-86457
91,A New Framework for Collaborative Set-Based Design: Application to the Design Problem of a Hollow Cylindrical Cantilever Beam,DETC2011-48153
92,Automatically Generating Form Concepts According to Consumer Preference: A Shape Grammar Implementation With Software Agents,DETC2008-49281
93,WirePATH Rapid Tooling Process and Supporting Software Development,DETC2003-48723
94,Benefit Evaluation of New Technologies,DETC2002-34133
95,A Parallel Grammar for Simulation-Driven Mechanical Design Synthesis,DETC2005-85414
96,Modeling and Design of Materials for Controlled Wave Propagation in Plane Grid Structures,DETC2004-57183
97,A Dual Environment for 3D Modeling With User-Defined Free Form Features,DETC2007-34796
98,Euclidean Symmetry Detection From Scanned Meshes Based on a Combination of ICP and Region Growing Algorithms,DETC2008-49698
99,Alternative Methods for Reliability-Based Robust Design Optimization Including Dimension Reduction Method,DETC2006-99732
100,Optimization of Machine System Designs Using Hierarchical Decomposition Based on Criteria Influence,DETC2002-34042
101,A Product Ontology for Automotive Seat Specification,DETC2004-57071
102,The Effect of Tempering (Artificial Aging) on the Crashworthiness Performance of Mass-Efficient Extruded Aluminum Structures,DETC2003-48754
103,Topology Optimization of Multiple Parts in Dynamic Controlled Systems,DETC2008-49134
104,Model Development Under Uncertainty via Conjoint Analysis,DETC2012-71318
105,A Grammar-Based Approach to Sheet Metal Design,DETC2002-34087
106,Optimal Tolerance Allocation of Automotive Pneumatic Control Valves Based on Product and Process Simulations,DETC2006-99592
107,DRed and Design Folders: A Way of Capturing Storing and Passing On Knowledge Generated During Design Projects,DETC2004-57165
108,Design Configuration of Vehicle With Domain Knowledge Enhancement,DETC2004-57540
109,A Comparative Study of Optimal Design for an Inkjet Printer Tube With and Without Performance Variations,DETC2004-57446
110,Type Synthesis of Three-DOF Translational Parallel Mechanisms,DETC2003-48820
111,Optimization of Honeycomb Cellular Meso-Structures for High Speed Impact Energy Absorption,DETC2011-48000
112,Incorporating Epistemic Uncertainty in Robust Design,DETC2003-48713
113,The Risk in Early Design (RED) Method: Likelihood and Consequence Formulations,DETC2006-99375
114,Product-Service Systems Design With Business Model Strategy Integrated: A Case Study of Urban Umbrella Rental Service System,DETC2012-71086
115,Developing Innovative Energy Harvesting Approaches for Infrastructure Health Monitoring Systems,DETC2011-48359
116,A Game-Theoretic Approach to Finding Market Equilibria for Automotive Design Under Environmental Regulation,DETC2007-34884
117,Using Q-Learning and Genetic Algorithms to Improve the Efficiency of Weight Adjustments for Optimal Control and Design Problems,DETC2005-85303
118,Support Vector Regression Modeling for Design and Analysis of Mechanical Snubbing,DETC2010-28117
119,An Extended Hierarchical Statistical Sensitivity Analysis Method for Multilevel Systems With Shared Variables,DETC2009-87434
120,Fastener Pattern Optimization of an Eccentrically Loaded Multi-Fastener Connection,DETC2010-28891
121,Topological Synthesis of Shell Structures,DETC2006-99092
122,Recent Advancements in Product Family Design and Platform-Based Product Development: A Literature Review,DETC2011-47959
123,Meta-Material Design of the Shear Layer of a Non-Pneumatic Wheel Using Topology Optimization,DETC2012-71340
124,Identifying Variable Effects on the Dimensional Quality of Compliant Assembly Using Computer Experiments,DETC2002-34035
125,Quantifying Model Uncertainty Using Measurement Uncertainty Standards,DETC2011-47865
126,A Variable-Size Local Domain Approach for Concurrent Design Optimization and Model Validation Using Parametric Bootstrap,DETC2011-47234
127,Optimizing the Unrestricted Placement of Turbines of Differing Rotor Diameters in a Wind Farm for Maximum Power Generation,DETC2010-29129
128,Computational Geometric Modeling and Unfolding of 3-D Folded Structures,DETC2002-34046
129,Shape Knowledge Indexing Using Invariant Shape Code,DETC2003-48744
130,A Process Model and Data Mining to Support Designing Families of Services,DETC2007-34687
131,Robust Truck Cabin Layout Optimization Using Advanced Driver Variance Models,DETC2005-84179
132,A Framework for Designing Balanced Product Platforms by Estimating Versatility of Components,DETC2007-35879
133,An Ensemble Approach for Robust Data-Driven Prognostics,DETC2012-70529
134,Sensitivity Analyses of FORM-Based and DRM-Based Performance Measure Approach for Reliability-Based Design Optimization,DETC2008-49493
135,Design for Project Change Management: Part 1 -- Configuration Design,DETC2004-57331
136,Development of Process Optimization for an Intelligent Knowledge-Based System for Spur Gear Precision Forging Die Design,DETC2004-57205
137,Automated Design Synthesis for Micro-Electro-Mechanical Systems (MEMS),DETC2002-34065
138,A Method for Inferring Design Rules With Explicit Bounds of Applicability,DETC2005-85295
139,Decomposition of System Level Reliability-Based Design Optimization to Reduce the Number of Simulations,DETC2011-47815
140,Defining Technology-Adoption Indifference Curves for Residential Solar Electricity Generation Using Stated Preference Experiments,DETC2011-48007
141,Optimal Camera Path Planning for the Inspection of Printed Circuit Boards Using a Two Stepped Optimization Approach,DETC2010-28393
142,Design Optimization of Continuous Caster Refractory Components,DETC2005-84968
143,Probabilistic Design Optimization of Frequency Dispersion for Rotating Blades,DETC2010-28172
144,A Genetic Algorithm Approach for Technology Characterization,DETC2012-70465
145,Pattern-Based Reasoning in Critical Parameter Management (CPM) for Rapid Redesign,DETC2006-99074
146,Structural Topology Optimization Using Frame Elements Based on the Complementary Strain Energy Concept for Eigen-Frequency Maximization,DETC2005-85176
147,Module Interface Representation,DETC2006-99554
148,Improving Confidence in Simulation-Based Design Through Error Functions,DETC2007-34435
149,Understanding the Effects of Model Uncertainty in Robust Design With Computer Experiments,DETC2006-99500
150,Improving Identifiability in Model Calibration Using Multiple Responses,DETC2011-48623
151,Multi-Objective Configuration Optimization With Vehicle Dynamics Applied to Midsize Truck Design,DETC2003-48735
152,A Mesh Feature Paradigm for Rapid Generation of CAE-Based Design of Experiments Data,DETC2002-34102
153,Research on Mechanism Model of Fixture Location Errors Analysis,DETC2012-70255
154,Finite Element Analysis Applied to Ergonomic Design of 2-Piece Aluminum Beverage Cans and Bottles,DETC2007-34940
155,Optimization of a Semi-Active Shock Absorber for Aircraft Landing Gear,DETC2003-48765
156,On Adaptive Sampling for Single and Multi-Response Bayesian Surrogate Models,DETC2006-99210
157,Automated Concept Generation Using Branched Functional Models,DETC2010-28775
158,Predicting the Thermal Performance for the Multi-Objective Vehicle Underhood Packing Optimization Problem,DETC2012-71098
159,Combining Case Based Reasoning and Shape Matching Based on Clearance Analyzes to Support the Reuse of Components,DETC2012-70631
160,Mass Customization: A Review of the Paradigm Across Marketing; Engineering and Distribution Domains,DETC2010-28753
161,A New Sparse Grid Based Method for Uncertainty Propagation,DETC2009-87430
162,Adapted Concept Generation and Computational Techniques for the Application of a Transformer Design Theory,DETC2006-99584
163,PDE-Driven Level Sets and Shape Sensitivity for Structural Topology Optimization,DETC2004-57038
164,Analytical Target Setting: An Enterprise Context in Optimal Product Design,DETC2003-48734
165,Topology and Dimensional Synthesis of Linkage Mechanism Based on the Constrained Superposition Method,DETC2008-50093
166,On the Entropy of Multi-Objective Design Optimization Solution Sets,DETC2002-34122
167,A Study on Immune Algorithms Considering Interaction of Design With Environment Properties,DETC2003-48802
168,Filleting and Rounding Using a Point-Based Method,DETC2005-85408
169,A Hybrid Method for Parametric Conceptual Vehicle Design Using Legacy Components and Parametric Surfaces,DETC2006-99391
170,Fast Layered Manufacturing Support Volume Computation on GPUs,DETC2006-99666
171,Dynamic Project Navigation: Modelling- Improving and Review of Engineering Processes,DETC2002-34132
172,Sequential Sampling With Kernel-Based Bayesian Network Classifiers,DETC2011-48318
173,Adjoint Design Sensitivity Analysis of Fracture Mechanics Using Molecular-Continuum Multiscale Approach,DETC2011-47700
174,Loci Surface Guided Crystal Phase Transition Pathway Search,DETC2011-47750
175,Integrated Optimization for Supporting Functional and Layout Designs During Conceptual Design Phase,DETC2009-86810
176,Towards a Conceptual Design Explorer Using Metamodeling Approaches and Constraint Programming,DETC2003-48766
177,Methods for Evaluating Suitability of Econometric Demand Models in Design for Market Systems,DETC2009-87165
178,Turning Black-Box Into White Functions,DETC2010-28958
179,An Indicator Response Surface-Based Monte Carlo Method for Efficient Component and System Reliability Analysis,DETC2003-48708
180,Spiral-Like Path Planning Without Gap for Material Deposition Processes,DETC2006-99631
181,Topology Optimization of Spacers for Maximizing Permeate Flux on Membrane Surface in Reverse Osmosis Channel,DETC2011-48933
182,Designing Design Processes for Integrated Materials and Products Realization: A Multifunctional Energetic Structural Material Example,DETC2006-99449
183,A Variable Fidelity Model Management Framework for Multiscale Computational Design of Continuous Fiber SiC-Si3N4 Ceramic Composites,DETC2007-35913
184,On the Impact of Coupling Strength on Complex System Optimization for Single-Level Formulations,DETC2005-84790
185,Protocol-Based Multi-Agent Systems: Examining the Effect of Diversity Dynamism and Cooperation in Heuristic Optimization Approaches,DETC2010-28601
186,Development of Validation Metrics for Vehicle Frontal Impact Simulation,DETC2007-34124
187,On Electrochemical Deposition for Layered Manufacturing,DETC2004-57306
188,Improving Multi-Response Metamodels With Upper/Lower Bound Information Using Multi-Stage Non-Stationary Covariance Functions,DETC2010-29030
189,Validation of Computational Fluid Structure Interaction Models for Shape Optimization Under Blast Impact,DETC2010-28110
190,A System Approach to Simulation-Based Design Under Uncertainty: Through Best in Class Simulation Process Integration and Design Optimization,DETC2004-57149
191,Introducing Rough Set for Design Space Exploration and Optimization,DETC2003-48761
192,Compliant Mechanism Design Using a Strain Based Topology Optimization Method,DETC2011-48525
193,Analysis and Design of an In-Pipe System for Water Leak Detection,DETC2011-48395
194,An Approach to Support the Implementation of Product Configuration Tools,DETC2009-86752
195,Development of a Robust Design Process Using a New Robustness Index,DETC2005-84555
196,Assessing and Increasing Product and Family Differentiation in the Market,DETC2006-99538
197,Are We There Yet? Investigating the Role of Design Process Architecture in Convergence Time,DETC2009-87517
198,Parametric Solid Modeling,DETC2006-99174
199,A Multiscale Design Methodology for Designing Hierarchical Multiscale Systems Considering Random Field Uncertainty,DETC2009-87465
200,Reliability-Based Design Optimization Using Enhanced Dimension Reduction Method With Variable Sampling Points,DETC2009-87268
201,A Platform Selection Approach Based on Product Family Ontology Modeling,DETC2011-48194
202,Hybrid Power/Energy Generation System Design Through Multistage Design Optimization Problem With Complementarity Constraints,DETC2010-28362
203,Development of a Production Cost Estimation Framework for Product Family Design,DETC2004-57175
204,A Framework for Parallel Sampling of Design Space With Application to Vehicle Crashworthiness Optimization,DETC2012-71112
205,Decomposition-Based Assembly Synthesis of Space Frame Structures Using Joint Library,DETC2004-57301
206,Topology Optimization and Dynamic Performance of a Bike With Dampers,DETC2003-48771
207,Identifying Key Product Attributes and Their Importance Levels From Online Customer Reviews,DETC2012-70493
208,Product Family and Platform Portfolio Optimization,DETC2003-48721
209,Penalized Likelihood Kriging Model for Analysis of Computer Experiments,DETC2003-48758
210,Analytical Robust Design of Mechanical Systems,DETC2008-49230
211,Topology Optimization for Synthesizing Extrusion Based Nonlinear Transient Designs,DETC2007-35914
212,Microstructure-Mediated Integration of Material and Product Design: Undersea Submersible,DETC2009-87276
213,A Compromise Method for the Design of Parametric Polynomial Surrogate Models,DETC2005-85469
214,Addressing Limitations of Pareto Front in Design Under Uncertainty,DETC2011-47238
215,Application of Math-Based Marketing and Financial Tools in an Automated Parametric Design Framework,DETC2004-57437
216,A Genetic Algorithm Based Procedure for Extracting Optimal Solutions From a Morphological Chart,DETC2007-35497
217,Performance Optimization of Extrusion Blow Molded Parts Using Fuzzy Neural-Taguchi Method and Genetic Algorithm,DETC2002-34047
218,Stiffness Testing of Hydraulic Hoses,DETC2002-34067
219,Cross Model Shape Reuse: Copying and Pasting of Freeform Features,DETC2002-34064
220,Graphical Modeling Environment and Support Framework for Function-Based Conceptual Design,DETC2004-57492
221,Economics of Sacrificial Fixturing for CNC Machining and Rapid Manufacturing,DETC2004-57440
222,Low Cost Demonstrator as a Mean for Rapid Product Realization With an Electric Motorcycle Application,DETC2005-85231
223,Requirement Change Propagation Prediction Approach: Results From an Industry Case Study,DETC2010-28562
224,Distributed Compliant Model for Efficient Dynamic Simulation of Systems With Frictional Contacts,DETC2003-48809
225,Adaptive Orthonormal Basis Functions for High Dimensional Metamodeling With Existing Sample Points,DETC2012-70480
226,Feature-Based Crystal Construction in Computer-Aided Nano-Design,DETC2008-49650
227,An Integrated Process Planning System for Machining and On-Machine Inspection,DETC2008-49725
228,High Performance Dirichlet Parametrization Through Triangular Bezier Surface Interpolation for Deformation of CAE Meshes,DETC2007-34285
229,Robust Product Family Consolidation and Selection Using the Hypothetical Equivalents and Inequivalents Method,DETC2007-35522
230,Reliability Based Design Optimization With Correlated Input Variables Using Copulas,DETC2007-35104
231,A New Global Optimization Method for Simultaneous Computation on Expensive Black-Box Functions,DETC2003-48763
232,Selecting an Appropriate Metamodel: The Case for NURBs Metamodels,DETC2005-85043
233,An Efficient Pareto Set Identification Approach for Multi-Objective Optimization on Black-Box Functions,DETC2004-57194
234,Robust Optimization of an Automotive Valvetrain Using a Multiobjective Genetic Algorithm,DETC2003-48714
235,A Comparison of Optimized Stacked-Ply Flywheel Designs That Are Based on Different Failure Criteria,DETC2005-84633
236,DEVELOPMENT OF MULTI-STAGE AND HYBRID REAL-CODED GENETIC ALGORITHMS WITH ACTIVE CONSTRAINTS,DETC2002-34059
237,Bounded Target Cascading in Hierarchical Design Optimization,DETC2011-48614
238,Representing Stresses That Arise in Parallel Assemblies That Contain Imperfect Geometry Allowed by Tolerances,DETC2012-70208
239,Evolutionary Multi-Agent Systems: An Adaptive Approach to Optimization in Dynamic Environments,DETC2008-49211
240,Reducing the Number of Variables in a Response Surface Approximation: Application to Thermal Design,DETC2007-34674
241,An Optimal Design Method for Reducing Brake Squeal in Disc Brake Systems,DETC2007-34708
242,Bayesian Hierarchical Choice Modeling Framework for Capturing Heterogeneous Preferences in Engineering System Design,DETC2009-87026
243,Particle Swarm Methodologies for Engineering Design Optimization,DETC2009-87237
244,A Web Enabled Process for Accessing Customized Parametric Designs,DETC2002-34078
245,Resistance Based Modeling of Collaborative Design,DETC2004-57076
246,Exploration of the Use of Design Methods With the Design Structure Matrix for Integrating New Technologies Into Large Complex Systems,DETC2012-70521
247,Introduction to Compliant Long-Dwell Mechanism Synthesis Using Buckling Arc Theory,DETC2003-48808
248,The Mathematical Model of a Procedure for Percutaneous Annuloplasty,DETC2010-28916
249,Diagonal Quadratic Approximation for Parallelization of Analytical Target Cascading,DETC2007-35566
250,Indicator of Feasibility for Layout Problems,DETC2012-70640
251,Metrics-Based Approach for VR Technology Evaluation in Styling Product Design,DETC2009-86228
252,A Method and Software Prototype to Support On-Line Planning on CNC Machines,DETC2008-50123
253,Computational Methods Applied to Modelica Simulation Models in a Web Based Framework,DETC2005-85428
254,A Template-Based Approach for Multilevel Blast Resistant Panel Design,DETC2007-35447
255,A Genetic Algorithm Based Method for Product Family Design Optimization,DETC2002-34106
256,Application of Product Platform Design for Engineered System,DETC2007-35800
257,Process Planning Support System Considering Product Quality,DETC2006-99377
258,An Intelligent and Efficient Tree Search Algorithm for Computer-Aided Component Selection,DETC2007-34587
259,Exploring Heterogeneity of Customer Preference to Balance Commonality and Market Coverage,DETC2011-48581
260,A New Model for Wind Farm Layout Optimization With Landowner Decisions,DETC2011-47772
261,Probabilistic Analysis of Manufacturing Uncertainty in Turbine Blades,DETC2009-86190
262,The Effects of Different Specifications on the Tolerance-Maps for an Angled Face,DETC2004-57199
263,Aeronautical Planar Flank Milling Automation: Computing the G-Zones,DETC2006-99098
264,Robust Design Concept in Possibility Theory and Optimization for System With Both Random and Fuzzy Input Variables,DETC2007-35106
265,Exploring the Advantages of Materials Design in a Product Design Process,DETC2006-99492
266,Modeling Implications in Simulation-Based Design of Stents,DETC2006-99493
267,Finite Element Modeling and Analysis of Orthotropic Butt Welds,DETC2010-28027
268,Should Designers Worry About Market Systems?,DETC2008-49137
269,Improving the Performance of Visual Steering Commands for Multi-Dimensional Trade Space Exploration,DETC2008-49684
270,Conservative Prediction Via Safety Margin: Design Through Cross-Validation and Benefits of Multiple Surrogates,DETC2009-87053
271,Numerical and Experimental Study of Shielding Gas Orientation Effects on Particle Stream Concentration Mode in Coaxial Laser Aided Material Deposition Process,DETC2004-57049
272,Reduction of Non - Monomial Basis in the Dimensional Analysis of a Dynamical System,DETC2007-35504
273,Convex Estimators for Optimization of Kriging Model Problems,DETC2011-48566
274,Reliability-Based Design Optimization Methods,DETC2004-57456
275,Creative Design- Issues and Strategies,DETC2004-57258
276,Facilitating Collaborative Design: A Review on Design Representations and Workstations,DETC2005-85124
277,A Unified Information Model for Product Family Design Management,DETC2005-84869
278,Qualitative and Quantitative Sequential Sampling,DETC2006-99178
279,Free-Form Feature Representation and Comparison,DETC2006-99066
280,A Sequential Linear Programming Coordination Algorithm for Analytical Target Cascading,DETC2007-35361
281,Design Optimization of a Laptop Computer Using Aggregate and Mixed Logit Demand Models With Consumer Survey Data,DETC2007-34883
282,Universal Product Family Design Valuation in an Uncertain Market Environment,DETC2010-28682
283,Novel Design of a 3-DOF Parallel Manipulator for Materials Handling,DETC2008-49188
284,Geometric Surface Features Applied to Volumetric CAE Mesh Models,DETC2005-84214
285,Design of a Bimorph Driven Meander-Line Structure for Parts Feeder Application,DETC2004-57391
286,Error Sensitivity Analysis for Optimal Calibration of Parallel Kinematic Machines,DETC2002-34113
287,Robust Design Through the Use of a Hybrid Genetic Algorithm,DETC2002-34108
288,Simulation Model Refinement for Decision Making via a Value-of-Information Based Metric,DETC2006-99433
289,Evaluation of Conceptual Designs and Maintainability Incorporating Uncertainty,DETC2002-34144
290,Theoretical Design and Control Analysis of Reconfigurable Parallel Kinematic Machine Tools,DETC2007-34301
291,Experimental Damage Characterization of Hexagonal Honeycombs Subjected to In-Plane Shear Loading,DETC2010-28549
292,A Preliminary Study of Novice and Expert Users' Decision-Making Procedures During Visual Trade Space Exploration,DETC2009-87294
293,Optimization of Chemical Etching Process in Niobium Cavities,DETC2004-57133
294,Steps in Transforming Shapes Generated With Generative Design Into Simulation Models,DETC2012-71056
295,Response Surface Method Using Sequential Sampling for Reliability-Based Design Optimization,DETC2009-87084
296,Structural Durability Design Optimization and Its Reliability Assessment,DETC2003-48711
297,On the Effect of Weights in Rational Motion Design,DETC2003-48817
298,Optimal Packaging of Tank Turret System,DETC2003-48799
299,A Method and Software Tool for Automated Gearbox Synthesis,DETC2009-86935
300,Optimal Partitioning and Coordination Decisions in Decomposition-Based Design Optimization,DETC2007-34698
301,A Comparison of Virtual Condition Cylinder Evaluation Methods in Coordinate Metrology,DETC2008-49798
302,A Hybrid Method for Surrogate Model Updating in Engineering Design Optimization,DETC2007-35482
303,Predictive Carbon Nanotube Models Using the Eigenvector Dimension Reduction (EDR) Method,DETC2007-35608
304,Matching Geometric Shapes in 4D Space Incorporating Curvature Information,DETC2007-34746
305,Benefit Evaluation for Machining of Marine Propellers,DETC2008-49639
306,Coupling Degree of Mechanism and its Application,DETC2006-99079
307,A Decision Support Formulation for Design Teams: A Study in Preference Aggregation and Handling Unequal Group Members,DETC2005-84766
308,A Modular Design Approach to Improve the Life Cycle Performance Derived From Optimized Closed-Loop Supply Chain,DETC2011-48148
309,Equivalent Standard Deviation to Convert High-Reliability Model to Low-Reliability Model for Efficiency of Sampling-Based RBDO,DETC2011-47537
310,Interactive Modular Optimization Strategy for Layout Problems,DETC2011-47925
311,A Viscoelastic Based Mechanism for Improving Spring-In Angle Predictions in Compression Molded Thermoplastic Matrix Composites,DETC2010-28472
312,Design of Hierarchic Platforms for Customizable Products,DETC2002-34095
313,Probabilistic Analytical Target Cascading: A Moment Matching Formulation for Multilevel Optimization Under Uncertainty,DETC2005-84928
314,A Method for Integrating Form Errors Into Geometric Tolerance Analysis,DETC2005-84343
315,A Cost Based Methodology for Design Optimization,DETC2005-84685
316,OAM+: An Assembly Data Model for Legacy Systems Engineering,DETC2007-35723
317,Recognizing Network-Like Hand-Drawn Sketches: A Convolutional Neural Network Approach,DETC2009-87402
318,The Application of Product Platform Design to the Reuse of Electronic Components Subject to Long-Term Supply Chain Disruptions,DETC2008-49239
319,The Effect of Reward Interdependence of Strategies in Evolutionary Multi-Agent Systems,DETC2009-87225
320,Global Stiffness Improvement for Tricept Machine Tools Family,DETC2004-57211
