PaperID,Abstract
12,"Predictive design analytics is a new paradigm to enable design engineers to extract knowledge from large-scale, multi-dimensional, unstructured, volatile data, and transform the knowledge and its trend into design decision making. Predictive, data-driven family design (PDFD) is proposed as one of the predictive design analytics methods to tackle some issues in family design. First, a number and specifications of product architectures are determined by data (not by pre-defined market segments) in order to maximize expected profit. A trade-off between price and cost in terms of the quantity and specifications of architectures helps to set the target in the enterprise level. k-means clustering is used to find architectures that minimize within architecture sum of squared errors. Second, a price prediction method as a function of product performance and deviations between performance and customer requirements is suggested with exponential smoothing based on innovations state space models. Regression coefficients are treated as customer preferences over product performance, and analyzed as a time series. Prediction intervals are proposed to show market uncertainties. Third, multiple values for common parameters in family design can be identified using the expectation maximization clustering so that multiple-platform design can be explored. Last, large-scale data can be handled by the PDFD algorithm. A data set which contains a total of 14 million instances is used in the case study. The design of a family of universal electronic motors demonstrates the proposed approach and highlights its benefits and limitations."
13,"Motivated by continued interest within the design community to model design preferences, this paper investigates the question of predicting preferences with particular application to consumer purchase behavior: How can we obtain high prediction accuracy in a consumer preference model using market purchase data? To this end, we employ sparse coding and sparse restricted Boltzmann machines, recent methods from machine learning, to transform the original market data into a sparse and high-dimensional representation. We show that these ‘feature learning’ techniques, which are independent from the preference model itself (e.g., logit model), can complement existing efforts towards high-accuracy preference prediction. Using actual passenger car market data, we achieve significant improvement in prediction accuracy on a binary preference task by properly transforming the original consumer variables and passenger car variables to a sparse and high-dimensional representation."
14,"The Change Prediction Method is an approach that has been proposed in the literature as a way to assess the risk of change propagation. This approach requires experts to define the elements of the design structure matrix and provide both impact and likelihood values for each subsystem interaction. The combined risk values produced by the Change Prediction Method indicate where high probabilities of propagation may exist, but the results rely heavily on the supplied expert data. This study explores how potential variability in expert data impacts the rank order of returned risk values from the Change Prediction Method. Results are presented that indicate significant changes in rank order, highlighting both the importance of expert data accuracy and the insights that can be gained from the Change Prediction Method as a design tool."
15,"When most designers set out to develop a new product they solicit feedback from potential consumers. These data are incorporated into the design process in an effort to more effectively meet customer requirements. Often these data are used to construct a model of consumer preference capable of evaluating candidate designs. Although the mechanics of these models have been extensively studied there are still some open questions, particularly with respect to models of aesthetic preference. When constructing preference models, simplistic product representations are often favored over high fidelity product models in order to save time and expense. This work investigates how choice of product representation can affect model performance in visual conjoint analysis. Preference models for a single product, a table knife, are derived using three different representation schemes; simple sketches, solid models, and 3D printed models. Each of these representations is used in a separate conjoint analysis survey. The results from this study showed that consumer responses were inconsistent and potentially contradictory between different representations. Consequently, when using conjoint analysis for product innovation, obtaining a true understanding of consumer preference requires selecting representations based on how accurately they convey the product details in question."
16,"When discussing Arrow’s Impossibility Theorem (AIT) in engineering design, we find that one condition, Independence of Irrelevant Alternatives (IIA), has been misunderstood generally. In this paper, two types of IIA are distinguished. One is based on Kenneth Arrow (IIA-A) that concerns the rationality condition of a collective choice rule (CCR). Another one is based on Amartya Sen (IIA-S) that is a condition for a choice function (CF). Through the analysis of IIA-A, this paper revisits three decision methods (i.e., Pugh matrix, Borda count and Quality Function Deployment) that have been criticized for their failures in some situations. It is argued that the violation of IIA-A does not immediately imply irrationality in engineering design, and more detailed analysis should be applied to examine the meaning of “irrelevant information”. Alternatively, IIA-S is concerned with the transitivity of CF, and it is associated with contraction consistency (Property α) and expansion consistency (Property β). It is shown that IIA-A and IIA-S are technically distinct and should not be confused in the rationality arguments. Other versions of IIA-A are also introduced to emphasize the significance of mathematical clarity in the discussion of AIT-related issues."
17,"This article discusses a design methodology for a Decision Support System (DSS) in the area of Data-Driven Management (DDM). We partition the DSS into an offline and an online system. Through rigorous testing, the offline system finds the best combination of Data Mining (DM) and Artificial Intelligence (AI) algorithms. Only the best algorithms are used in the online system to extract information from data and to make sense of this information by providing an objective second opinion on a decision result. To support the proposed design methodology, we construct a DSS that uses DM methods for market segmentation and AI methods for product positioning. As part of the offline system construction, we evaluate four intrinsic dimension estimation, three dimension reduction and four clustering algorithms. The performance is evaluated with statistical methods, silhouette mean and 10-fold stratified cross validated classification accuracy. We find that every DSS problem requires us to search a suitable algorithm structure, because different algorithms, for the same task, have different merits and shortcomings and it is impossible to know a priory which combination of algorithms gives the best results. Therefore, to select the best algorithms is empirical science where the possible combinations are tested. With this study, we deliver a blueprint on how to construct a DSS for product positioning. The proposed design methodology can be easily adopted to serve in a wide range of DDM problems."
18,"Complex system design problems tend to be high dimensional and nonlinear, and also often involve multiple objectives and mixed-integer variables. Heuristic optimization algorithms have the potential to address the typical (if not most) characteristics of such complex problems. Among them, the Particle Swarm Optimization (PSO) algorithm has gained significant popularity due to its maturity and fast convergence abilities. This paper seeks to translate the unique benefits of PSO from solving typical continuous single-objective optimization problems to solving multi-objective mixed-discrete problems, which is a relatively new ground for PSO application. The previously developed Mixed-Discrete Particle Swarm Optimization (MDPSO) algorithm, which includes an exclusive diversity preservation technique to prevent premature particle clustering, has been shown to be a powerful single-objective solver for highly constrained MINLP problems. In this paper, we make fundamental advancements to the MDPSO algorithm, enabling it to solve challenging multi-objective problems with mixed-discrete design variables. In the velocity update equation, the explorative term is modified to point towards the non-dominated solution that is the closest to the corresponding particle (at any iteration). The fractional domain in the diversity preservation technique, which was previously defined in terms of a single global leader, is now applied to multiple global leaders in the intermediate Pareto front. The multi-objective MDPSO (MO-MDPSO) algorithm is tested using a suite of diverse benchmark problems and a disc-brake design problem. To illustrate the advantages of the new MO-MDPSO algorithm, the results are compared with those given by the popular Elitist Non-dominated Sorting Genetic Algorithm-II (NSGA-II)."
19,"Computer models are very important to planning, operation, and control of power system. Although elements such as generators and transmission lines have been relatively well understood, developing a comprehensive power system model is a daunting task because challenges associated with loads modeling (they change all the time and utilities have very little control on). Unfortunately, inaccurate load models have serious implications such as unsafe operating conditions, power outages, under-utilization of system capacity, or inappropriate capital investment. This paper presents the use of state-of-the art Bayesian calibration framework for simultaneous load model selection and calibration. The approach aims at identifying configuration and reducing parameters uncertainty of the Western Electricity Coordinating Council’s (WECC) composite load model in the presence of measured field data. The success of the approach is illustrated with synthetic field data and a simplified model."
20,"The global quest for energy sustainability has motivated the development of technology for efficiently transforming various natural resources into energy. Combining these alternative energy sources with existing power systems requires systematic assessments and planning. The present study investigates the conversion of an existing power system into one with a wind-integrated microgrid. The standard approach applies wind resource assessment to determine suitable wind farm locations with high potential energy and then develops specific dispatch strategies to meet the power demand for the wind-integrated system with low cost, high reliability, and low impact on the environment. However, the uncertainty in wind resource results in fluctuating power generation. The installation of additional energy storage devices is thus needed in the dispatch strategy to ensure a stable power supply. The present work proposes a design procedure for obtaining the optimal sizing of wind turbines and storage devices considering wind resource assessment and dispatch strategy under uncertainty. Two wind models are developed from real-world wind data and apply in the proposed optimization framework. Based on comparisons of system reliability between the optimal results and real operating states, an appropriate wind model can be chosen to represent the wind characteristics of a particular region. Results show that the trend model of wind data is insufficient for wind-integrated microgrid planning because it does not consider the large variation of wind data. The wind model should include the uncertainties of wind resource in the design of a wind-integrated microgrid system to ensure high reliability of optimal results."
21,"Modeling and unit-cost optimization of a water-heated humidification-dehumidification (HDH) desalination system were presented in previous work of the authors. The system controlled the saline water flow rate to prevent salts from precipitating at higher water temperatures. It was then realized that this scheme had a negative impact on condensation performance when the controlled flow rate was not sufficiently high. This work builds on the previous system by disconnecting the condenser from the saline water cycle and by introducing a solar air heater to further augment the humidification performance. In addition, improved models for the condenser and the humidifier were used to obtain more accurate productivity estimations. The Heuristic Gradient Projection (HGP) optimization procedure was also refactored to result in reduced number of function evaluations to reach the global optimum compared to Genetic Algorithms (GA’s). A case study which assumes a desalination plant on the Red Sea near the city of Hurghada is presented. The unit-cost of produced fresh water for the new optimum system is $0.5/m"
22,"Reverse osmosis (RO) is one of the main commercial technologies for desalination of water with salinity content too high for human consumption in order to produce fresh water. RO may hold promise for remote areas with scarce fresh water resources, however, RO energy requirements being in the form of electric power have few options in such areas. Fortunately, scarce rainfall is often associated with abundant sunshine, which makes solar photovoltaic (PV) power an attractive option. Equipping a photovoltaic powered reverse osmosis (PV-RO) desalination plant with battery storage has an advantage of steadier and longer hours of operation, thereby making better use of the investments in RO system components, but the additional cost from including batteries may end up increasing the overall cost of fresh water. It is therefore of paramount importance to consider the overall cost-effectiveness of the PV-RO system when designing the desalination plant. Recent work by the authors has generalized the steady operation model of RO systems to hourly adjusted power-dispatch via a proportional-derivative (PD) controller that depends on the state of charge (SOC) of the battery, yet the operating conditions; namely pressure and flow for a given power dispatch were only empirically selected. This paper considers a multi-level optimization model for PV-RO systems with battery storage by considering a “sub-loop” optimization of the feed pressure and flow given power dispatch for a fixed RO system configuration, as well as a “top-level” optimization where the system configuration itself is adjusted by the design variables. Effect of the sub-loop optimization is assessed by comparing the obtained cost of fresh water with the previous empirically adjusted system for locations and weather conditions near the city of Hurgada on the Red Sea."
23,"The variable and uncertain nature of wind generation presents a new concern to power system operators. One of the biggest concerns associated with integrating a large amount of wind power into the grid is the ability to handle large ramps in wind power output. Large ramps can significantly influence system economics and reliability, on which power system operators place primary emphasis. The Wind Forecasting Improvement Project (WFIP) was performed to improve wind power forecasts and determine the value of these improvements to grid operators. This paper evaluates the performance of improved short-term wind power ramp forecasting. The study is performed for the Electric Reliability Council of Texas (ERCOT) by comparing the experimental WFIP forecast to the current short-term wind power forecast (STWPF). Four types of significant wind power ramps are employed in the study; these are based on the power change magnitude, direction, and duration. The swinging door algorithm is adopted to extract ramp events from actual and forecasted wind power time series. The results show that the experimental short-term wind power forecasts improve the accuracy of the wind power ramp forecasting, especially during the summer."
24,"Traditionally viewed as mere energy consumers, buildings have in recent years adapted, capitalizing on smart grid technologies and distributed energy resources to not only efficiently use energy, but to also output energy. This has led to the development of net-zero energy buildings, a concept which encapsulates the synergy of energy efficient buildings, smart grids, and renewable energy utilization to reach a balanced energy budget over an annual cycle. This work looks to further expand on this idea, moving beyond just individual buildings and considering net-zero at a community scale. We hypothesize that applying net-zero concepts to building communities, also known as building clusters, instead of individual buildings will result in cost effective building systems which in turn will be resilient to power disruption. To this end, this paper develops an intelligent energy optimization algorithm for demand side energy management, taking into account a multitude of factors affecting cost including comfort, energy price, Heating, Ventilation, and Air Conditioning (HVAC) system, energy storage, weather, and on-site renewable resources. A bi-level operation decision framework is presented to study the energy tradeoffs within the building cluster, with individual building energy optimization on one level and an overall net-zero energy optimization handled on the next level. The experimental results demonstrate that the proposed approach is capable of significantly shifting demand, and when viable, reducing the total energy demand within net-zero building clusters. Furthermore, the optimization framework is capable of deriving Pareto solutions for the cluster which provide valuable insight for determining suitable energy strategies."
25,"Large-scale desalination plants are complex systems with many inter-disciplinary interactions and different levels of sub-system hierarchy. Advanced complex systems design tools have been shown to have a positive impact on design in aerospace and automotive, but have generally not been used in the design of water systems. This work presents a multi-disciplinary design optimization approach to desalination system design to minimize the total water production cost of a 30,000m"
26,"Photovoltaic reverse osmosis (PVRO) systems can provide a viable clean water source for many remote communities. To be cost-effective, PVRO systems need to be custom-tailored for the local water demand, solar insolation, and water characteristics. Designing a custom system composed of modular components is not simple due to the large number of design choices and the variations in the sunlight and demand. This paper presents a modular design architecture, which when implemented on a low-cost PC, would enable users to configure systems from inventories of modular components. The method uses a hierarchy of filters or design rules, which can be provided in the form of an expert system, to limit the design space. The architecture then configures a system from the reduced design space using a genetic algorithm to minimize the system lifetime cost subject to system constraints. The genetic algorithm uses a detailed cost model and physics-based PVRO system model which determines the ability of the system to meet demand. Determining the ability to meet demand is challenging due to variations in water demand and solar radiation. Here, the community’s historical water demand, solar radiation history, and PVRO system physics are used in a Markov model to quantify the ability of a system to meet demand or the loss-of-water probability (LOWP). Case studies demonstrate the approach and the cost-reliability trade-off for community-scale PVRO systems. In addition, long-duration simulations are used to demonstrate the Markov model appropriately captures the uncertainty."
27,"This paper provides justification for solar-powered electrodialysis desalination systems for rural Indian villages. It is estimated that 11% of India’s 800 million people living in rural areas do not have access to an improved water source. If the source’s quality in regards to biological, chemical, or physical contaminants is also considered, this percentage is even higher. User interviews conducted by the authors and in literature reveal that users judge the quality of their water source based on its aesthetic quality (taste, odor, and temperature). Seventy-three percent of Indian villages rely on groundwater as their primary drinking supply. However, saline groundwater underlies approximately 60% of the land area in India. Desalination is necessary in order to improve the aesthetics of this water (by reducing salinity below the taste threshold) and remove contaminants that cause health risks."
28,"Wind turbine tower design looks primarily at the structural integrity and durability of the tower. Optimization techniques are sometimes employed to maximize the loading capability while reducing material use and cost. Still, the tower is a dynamic part of a complex wind energy conversion system. During system operation, the tower is excited and sways back and forth. This undesirable movement increases cyclical loading on the tower and drivetrain components. To minimize this motion the tower frequency must be offset from the natural frequency of other components. Hence, it is necessary to look at the relationships that exist between the tower and other wind turbine components, such as the rotor, nacelle, and foundation. In addition, tradeoffs between cost, structural performance, and environmental impact can be examined to guide the designer toward a truly sustainable alternative to fossil fuels. Ultimately, an optimal design technique can be implemented and used to automate tower design. This work will introduce the analytical model and decision-making architecture that can be used to incorporate greater considerations in future studies. In this paper, nine wind turbine tower designs with different materials and geometries are analyzed using Finite Element Analysis (FEA). The optimal tower design is selected using a multi-level variation of the Hypothetical Equivalents and Inequivalents Method (HEIM). Using this analysis, a steel tower with variable thickness has been chosen. The findings reaffirm that steel is a favorable choice for turbine tower construction as it performs well on environmental, performance, and cost objectives. The method proposed in this work can be expanded to examine additional design goals and present a higher fidelity model of the wind turbine tower system in future work."
29,"The market is a complex system with many different stakeholders and interactions. A number of decisions within this system affect the design of new products, not only from design teams but also from consumers, producers, and policy-makers. Market systems studies have shown how profit-optimal producer decisions regarding product design and pricing can influence a number of different factors including the quality, environmental impact, production costs, and ultimately consumer demand for the product. This study models the ways that policies and consumer demand combine in a market systems framework to influence optimal product design and, in particular, product quality and environmental sustainability. Implementing this model for the design of a mobile phone case shows how different environmental impact assessment methods, levels of taxation, and factors introduced to the consumer decision-making process will influence producer profits and overall environmental impacts. This demonstrates how different types of policies might be evaluated for their effectiveness in achieving economic success for the producer and reduced environmental impacts for society, and a “win-win” scenario was uncovered in the case of the mobile phone."
30,"Consideration set formation using non-compensatory screening rules is a vital component of real purchasing decisions with decades of experimental validation. Marketers have recently developed statistical methods that can estimate quantitative choice models that include consideration set formation via non-compensatory screening rules. But is capturing consideration within models of choice important for design? This paper reports on a simulation study of a vehicle portfolio design when households screen over vehicle body style built to explore the importance of capturing consideration rules for optimal designers. We generate synthetic market share data, fit a variety of discrete choice models to this data, and then optimize design decisions using the estimated models. Model predictive power, design “error”, and profitability relative to ideal profits are compared as the amount of market data available increases. We find that even when estimated compensatory models provide relatively good predictive accuracy, they can lead to sub-optimal design decisions when the population uses consideration behavior; convergence of compensatory models to non-compensatory behavior is likely to require unrealistic amounts of data; and modeling heterogeneity in non-compensatory screening is more valuable than heterogeneity in compensatory trade-offs. This supports the claim that designers should carefully identify consideration behaviors before optimizing product portfolios. We also find that higher model predictive power does not necessarily imply better design decisions; that is, different model forms can provide “descriptive” rather than “predictive” information that is useful for design."
31,"Mapua Institute of Technology has been constantly engaged in providing free, renewable energy to rural and under privileged communities. Guided by the mission and vision of the School of Mechanical and Manufacturing Engineering Department and of the Office of Social Orientation and Community Involvement, the school had implemented several renewable energy activities. This paper showcases 8 different projects — 6 hydropower plant projects, 1 human kinetic harvesting demonstration facility, and 1 wind turbine project. In this paper, implemented projects are presented briefly with emphasis on the different locations, local cultural settings and different experiences encountered. It will also share how students have changed from being participants to autonomous implementers of renewable energy projects for communities."
32,"Product design decision makers are frequently challenged by the difficulty of ensuring compatibility of parts sourced from various suppliers, including the services that the product is designed to integrate. The crux of the difficulty is in analyzing the ability of sourced parts (and services) to interoperate under uncertainty, and the impact of such compatibility on the overall marketing objectives. Therefore, the decisions in a design for market system problem can be closely related to the considerations along both the upstream (e.g., suppliers) and downstream (e.g., service providers and customers) market systems. This paper fills a gap in the existing research by exploring a design decision method that integrates upstream and downstream market systems with interoperability considerations. The proposed method is based on a mathematical model and metric for interoperability presented for the first time in the literature and particularly in the context of engineering design. The design decision framework is demonstrated using three examples: a mechanical design tolerance problem, a power tool design problem, and a tablet computer design problem. The mechanical design problem demonstrates how the interoperability metric can be used as a new way of analyzing tolerances in mechanical systems. The power tool design example involves an integration of upstream and downstream market systems for design selection. The tablet computer design selection problem considers not only the upstream suppliers but also customers and digital service providers along the downstream market system."
33,"This paper explores opportunities for reductions in lifecycle greenhouse gas (GHG) emissions through adoption of electric drive vehicles (EDV), including hybrid, plug-in hybrid and battery electric vehicles. EDVs have generally lower GHG emission rates during operation than similar-class conventional vehicles (CV). However, a key observation is that GHG reductions per mile are much larger during city driving conditions than on the highway. An examination of the estimated GHG emissions is conducted for city and highway driving conditions for several CV and EDV models based on testing results from the US Environmental Protection Agency (EPA), then compared with key findings from the 2009 National Household Travel Survey (NHTS 2009). Through an empirical analysis of actual driving patterns in the U.S., this study highlights potential missed opportunities to reduce transportation GHG emissions through the allocation of incentives and/or regulations. Key findings include the significant potential to reduce GHG emissions of taxis and delivery vehicles, as well as driving pattern-based incentives for individual vehicle owners."
34,"Conjoint analysis from marketing has been successfully integrated with engineering analysis in design for market systems. The long questionnaires needed for conjoint analysis in relatively complex design decisions can become cumbersome to the human respondents. This paper presents an adaptive questionnaire generation strategy that uses active learning and allows incorporation of engineering knowledge in order to identify efficiently designs with high probability to be optimal. The strategy is based on viewing optimal design as a group identification problem. A running example demonstrates that a good estimation of consumer preference is not always necessary for finding the optimal design and that conjoint analysis could be configured more effectively for the specific purpose of design optimization. Extending the proposed method beyond a homogeneous preference model and noiseless user responses is also discussed."
35,"About 80% of farms in India are less than five acres in size and are cultivated by farmers who use bullocks for farming operations. Even the smallest tractors available in the Indian market are too expensive and large, and not designed to meet the unique requirements of these farmers. To address these needs, we have developed a proof-of-concept lightweight (350 kg) tractor in collaboration with Mahindra and Mahindra Limited, an Indian tractor manufacturer. Given the challenges of accurately predicting traction in Indian soils by applying existing terramechanics models, an alternative design approach based on Mohr-Coulomb soil-failure criterion is presented. Analysis of weight, power and drawbar of existing tractors on the market, a single wheel traction test, and a drawbar test of a proof-of-concept small tractor prototype suggest that ∼200kg is the maximum drawbar force that could be achieved by a 350kg tractor of conventional design. In order to attain higher drawbar performance of 70% of the tractor weight needed for specific agricultural operations, additional design changes are required. An approach for increasing traction by adding tires is investigated and discussed. Additional research on weight distribution, dynamic drawbar testing and tread design is suggested as future work."
